Player,Team,Role,Nationality,Mat,Inns,Runs,Avg,SR,50,4s,6s,Role_Encoded,Nationality_Encoded,Predicted_Avg,Predicted_SR,Combined_Score
Virat Kohli,RCB,Batsmen,Indian origin,159,158,5366,40.42545455,128.4945455,38,465,181,0,1,54.64886979495192,129.42995443460953,77.0831951868492
Rohit Sharma,MI,Batsmen,Indian origin,164,160,4412,31.93727273,131.8354545,33,394,177,0,1,50.840578947895594,130.90263392240203,74.85919544024753
MS Dhoni,CSK,Batsmen/WK,Indian origin,174,152,3769,45.39,134.9827273,18,251,193,1,1,48.81191953654897,132.50187530718105,73.91890626773859
David Warner,DC,All Rounder,Overseas,124,124,4748,44.35888889,135.68,47,454,168,2,0,46.150635264452504,134.3111037107483,72.59877579834125
Shikhar Dhawan,PBKS,Batsmen,Indian origin,162,162,4984,36.15636364,126.8090909,37,570,103,0,1,43.51064755591452,128.03815383528223,68.86889943972483
Sanju Samson,RR,Batsmen/WK,Indian origin,121,117,3068,29.01222222,133.4333333,15,236,132,1,1,40.299001084731806,131.47254511266908,67.651064293113
Rishabh Pant,DC,Batsmen/WK,Indian origin,84,84,2498,34.52,145.7666667,15,225,113,1,1,32.78403048161835,141.1918966798493,65.30639034108763
Andre Russell,KKR,All Rounder,Overseas,84,70,1700,24.17666667,147.63,9,119,143,2,0,30.652531180175046,144.33949574917864,64.75862055087612
KL Rahul,LSG,Batsmen/WK,Indian origin,94,85,3273,41.3125,130.915,27,282,134,1,1,35.710306824112166,131.73366222141513,64.51731344330305
Ambati Rayudu,CSK,Batsmen,Indian origin,109,102,2567,30.06125,128.68125,13,203,109,0,1,36.516471802445196,129.10922520489456,64.29429782318
Glenn Maxwell,RCB,All Rounder,Overseas,97,93,2018,21.64555556,134.38,12,166,112,2,0,33.24239515908435,135.04669087117168,63.78368387271055
Jos Buttler,RR,Batsmen/WK,Overseas,65,64,1968,35.52166667,149.4483333,11,194,90,1,0,28.9533776375951,144.33949574917864,63.56921307107016
Dinesh Karthik,RCB,Batsmen/WK,Indian origin,140,130,2815,27.11222222,131.9055556,15,278,84,1,1,34.73084065404896,128.70812699752142,62.9240265570907
Manish Pandey,LSG,Batsmen,Indian origin,122,112,2907,36.86545455,123.7827273,19,247,86,0,1,36.590684469399996,124.32825885500168,62.9119567850805
Hardik Pandya,GT,All Rounder,Indian origin,92,85,1476,26.73714286,146.2642857,4,97,98,2,1,28.601065973282832,141.1918966798493,62.37831518525277
Steve Smith,RR,Batsmen,Overseas,103,93,2485,35.42111111,128.6,11,225,60,0,0,33.02472253823994,129.55159525297128,61.98278435265934
Shreyas Iyer,KKR,Batsmen,Indian origin,87,87,2375,30.05428571,116.4757143,16,196,88,0,1,33.98770168831261,122.12483323661927,60.42884115280461
Ajinkya Rahane,KKR,Batsmen,Indian origin,115,109,3113,29.40111111,117.8211111,22,319,61,0,1,33.601074773890375,122.11798057704995,60.15614651483824
Quinton de Kock,LSG,Batsmen/WK,Overseas,77,77,2256,28.44875,120.7125,16,230,83,1,0,30.66332192655687,127.0059825127581,59.56612010241723
David Miller,GT,All Rounder,Overseas,75,72,1617,33.64375,128.28125,8,116,69,2,0,28.585449705452703,131.61741548750462,59.49503944006827
Mayank Agarwal,PBKS,Batsmen,Indian origin,84,83,1906,20.539,124.297,10,184,70,0,1,29.571180798286285,127.85654155654079,59.05678902576264
Kieron Pollard,MI,All Rounder,Overseas,55,47,925,34.5225,157.41,4,55,67,2,0,22.970740281300998,142.55553227027752,58.84617787799395
Suryakumar Yadav,MI,Batsmen,Indian origin,114,99,2341,28.195,134.78875,13,261,68,0,1,28.565616614750176,128.35748858652775,58.50317820628345
Chris Lynn,MI,Batsmen,Overseas,39,39,1265,37.408,140.898,10,126,63,0,0,24.82761266989563,136.85055583920106,58.43449562068726
Nitish Rana,KKR,All Rounder,Indian origin,77,71,1820,29.55166667,133.7916667,13,161,89,2,1,26.333596923082297,132.83218495814577,58.28317333360134
Eoin Morgan,KKR,Batsmen,Overseas,65,62,1233,24.16666667,117.9683333,4,93,60,0,0,28.043252977234193,127.09877920878507,57.759910846699455
Nicholas Pooran,PBKS,Batsmen/WK,Overseas,33,31,606,23.67333333,146.1833333,2,36,44,1,0,20.95587856218103,143.02339209761672,57.576132622811734
Kane Williamson,SRH,All Rounder,Overseas,63,62,1885,36.95857143,125.3271429,17,166,56,2,0,26.89770609183806,128.49200743219905,57.375996493946346
Faf du Plessis,RCB,All Rounder,Overseas,41,41,1478,40.67333333,134.1033333,13,138,52,2,0,22.85440058121624,137.04451798841077,57.1114358033746
Dwayne Bravo,CSK,All Rounder,Overseas,96,64,698,18.8625,160.90125,2,61,27,2,0,17.581872625435068,149.1539849065844,57.05350630977986
Wriddhiman Saha,GT,Batsmen/WK,Indian origin,118,98,1970,25.14833333,122.2841667,8,186,61,1,1,27.019850290687067,126.61537981824347,56.89850914895398
Ishan Kishan,MI,Batsmen/WK,Indian origin,61,56,1452,26.65666667,127.83,9,121,74,1,1,24.71985712851683,131.81893937140316,56.849581801382726
Ravindra Jadeja,CSK,All Rounder,Indian origin,159,117,1673,32.499,131.805,2,124,59,2,1,25.32615268053317,128.38833139532548,56.24480629497086
Jonny Bairstow,PBKS,Batsmen/WK,Overseas,28,28,1038,42.77,141.9266667,7,99,46,1,0,21.080981842428315,137.44708886613168,55.99081394953932
Prithvi Shaw,DC,Batsmen,Indian origin,53,53,1305,24.685,145.62,10,155,45,0,1,22.386852676855,134.35998377951432,55.9787920076528
Rahul Tripathi,SRH,Batsmen,Indian origin,62,60,1385,25.576,133.72,7,136,48,0,1,24.44230053425671,127.85654155654079,55.466572840941936
Moeen Ali,CSK,All Rounder,Overseas,34,32,666,19.0625,136.275,4,52,42,2,0,19.30431526722058,138.48965401451193,55.05991689140799
