Player,Team,Role,Nationality,Mat,Inns,Runs,Avg,SR,50,4s,6s
Adam Milne,CSK,All Rounder,Overseas,8,6,23,5.75,76.22,0,0,1
Adam Zampa,RCB,All Rounder,Overseas,11,2,5,2.5,35.71,0,1,0
Aiden Markram,SRH,All Rounder,Overseas,6,6,146,29.2,122.68,0,12,4
Ajinkya Rahane,KKR,Batsmen,Indian origin,115,109,3113,29.40111111,117.8211111,22,319,61
Akila Dananjaya,DC,All Rounder,Overseas,1,1,4,0,80,0,0,0
Akshdeep Nath,PBKS,Batsmen,Indian origin,10,7,70,7.066666667,58.74666667,0,6,2
Alex Carey,KKR,Batsmen/WK,Overseas,3,3,32,16,110.34,0,0,1
Alex Hales,LSG,Batsmen,Overseas,6,6,148,24.66,125.42,0,13,6
Alzarri Joseph,MI,All Rounder,Overseas,3,2,15,0,115.38,0,2,0
Ambati Rayudu,CSK,Batsmen,Indian origin,109,102,2567,30.06125,128.68125,13,203,109
Amit Mishra,DC,All Rounder,Indian origin,108,35,229,11.33222222,71.65444444,0,17,2
Andre Russell,KKR,All Rounder,Overseas,84,70,1700,24.17666667,147.63,9,119,143
Andrew Tye,LSG,All Rounder,Overseas,27,13,91,9.4575,90.2175,0,6,5
Aniket Choudhary,LSG,Batsmen,Indian origin,5,3,25,25,125,0,1,1
Ankit Rajpoot,LSG,Batsmen,Indian origin,19,6,24,5.553333333,69.41666667,0,2,1
Ankit Sharma,SRH,Batsmen,Indian origin,11,6,69,12.25,124.1625,0,7,2
Anrich Nortje,DC,All Rounder,Overseas,16,5,7,7,116.66,0,0,0
Arshdeep Singh,PBKS,All Rounder,Indian origin,20,3,2,0,33.33,0,0,0
Ashton Turner,RR,All Rounder,Overseas,4,4,3,1,30,0,0,0
Avesh Khan,LSG,All Rounder,Indian origin,17,2,9,0,149.995,0,2,0
Axar Patel,GT,All Rounder,Indian origin,109,78,953,16.46375,121.44,0,55,44
Barinder Sran,MI,Batsmen,Indian origin,22,9,10,1,80.95,0,0,0
Basil Thampi,SRH,Batsmen,Indian origin,19,8,32,1,83.33333333,0,1,1
Ben Cutting,LSG,All Rounder,Overseas,20,16,230,22.75,164.6775,0,15,18
Ben Laughlin,LSG,All Rounder,Overseas,9,4,5,2.5,34.72,0,0,0
Ben Stokes,RR,All Rounder,Overseas,43,42,920,21.828,106.29,2,79,32
Bhuvneshwar Kumar,SRH,All Rounder,Indian origin,117,41,176,9.008888889,87.24555556,0,16,3
Billy Stanlake,SRH,All Rounder,Overseas,4,1,5,0,250,0,1,0
Carlos Brathwaite,LSG,All Rounder,Overseas,16,14,181,12.5825,141.1675,0,10,16
Chetan Sakariya,RR,All Rounder,Indian origin,14,6,16,3.2,64,0,2,0
Cheteshwar Pujara,CSK,Batsmen,Indian origin,13,13,234,17.88666667,90.33,1,32,1
Chris Jordan,RCB,All Rounder,Overseas,23,9,64,7.165,80.23,0,3,3
Chris Lynn,MI,Batsmen,Overseas,39,39,1265,37.408,140.898,10,126,63
Chris Morris,RCB,All Rounder,Overseas,70,44,542,25.14714286,141.7485714,2,38,30
Chris Woakes,DC,All Rounder,Overseas,21,12,78,6.666666667,107.9,0,7,2
Colin de Grandhomme,LSG,All Rounder,Overseas,25,21,303,19.09333333,128.9233333,0,18,18
Colin Ingram,LSG,Batsmen,Overseas,15,15,205,14.45,100.12,0,22,5
Colin Munro,LSG,All Rounder,Overseas,13,12,177,14.53333333,124.55,0,19,8
Corey Anderson,MI,All Rounder,Overseas,14,14,159,12.97,96.355,0,8,10
Dan Christian,LSG,All Rounder,Overseas,26,19,119,10.37666667,99.44333333,0,6,6
Darren Bravo,CSK,All Rounder,Overseas,1,1,6,0,120,0,1,0
David Miller,GT,All Rounder,Overseas,75,72,1617,33.64375,128.28125,8,116,69
David Warner,DC,All Rounder,Overseas,124,124,4748,44.35888889,135.68,47,454,168
David Wiese,RCB,All Rounder,Overseas,1,1,5,0,125,0,0,0
Dawid Malan,PBKS,Batsmen,Overseas,1,1,26,26,100,0,1,1
Deepak Chahar,CSK,All Rounder,Indian origin,61,12,79,8.232,128.368,0,2,6
Deepak Hooda,LSG,All Rounder,Indian origin,80,61,785,28.92285714,129.8928571,3,41,38
Devdutt Padikkal,RCB,Batsmen,Indian origin,29,29,884,31.57,125.05,6,95,22
Dhawal Kulkarni,MI,All Rounder,Indian origin,60,15,87,2.5625,122.7575,0,6,2
Dhruv Shorey,LSG,Batsmen,Indian origin,2,2,13,6.5,75.69,0,0,1
Dinesh Karthik,RCB,Batsmen/WK,Indian origin,140,130,2815,27.11222222,131.9055556,15,278,84
Dwayne Bravo,CSK,All Rounder,Overseas,96,64,698,18.8625,160.90125,2,61,27
Dwayne Smith,CSK,All Rounder,Overseas,31,30,720,30.14,153.3333333,6,85,31
Eoin Morgan,KKR,Batsmen,Overseas,65,62,1233,24.16666667,117.9683333,4,93,60
Evin Lewis,LSG,Batsmen,Overseas,21,21,581,25.19333333,131.02,3,54,33
Faf du Plessis,RCB,All Rounder,Overseas,41,41,1478,40.67333333,134.1033333,13,138,52
Gautam Gambhir,LSG,Batsmen,Indian origin,28,28,828,31.84,119.755,8,95,10
George Bailey,LSG,Batsmen,Overseas,13,13,259,23.54,136.31,2,22,7
George Garton,RCB,All Rounder,Overseas,5,3,2,2,50,0,0,0
Glenn Maxwell,RCB,All Rounder,Overseas,97,93,2018,21.64555556,134.38,12,166,112
Glenn Phillips,RCB,Batsmen,Overseas,3,3,26,13,78.78,0,1,2
Hanuma Vihari,SRH,All Rounder,Indian origin,24,23,284,9.653333333,82.70333333,0,23,1
Hardik Pandya,GT,All Rounder,Indian origin,92,85,1476,26.73714286,146.2642857,4,97,98
Harshal Patel,RCB,All Rounder,Indian origin,57,27,187,14.72142857,120.23,0,11,11
Heinrich Klaasen,LSG,Batsmen,Overseas,7,6,66,11.75,105.635,0,5,1
Ish Sodhi,RR,All Rounder,Overseas,8,2,7,3.5,35.6,0,0,0
Ishan Kishan,MI,Batsmen/WK,Indian origin,61,56,1452,26.65666667,127.83,9,121,74
Ishank Jaggi,PBKS,Batsmen,Indian origin,2,2,33,33,84.61,0,3,0
Ishant Sharma,DC,All Rounder,Indian origin,31,11,22,1.333333333,159.9966667,0,2,1
Isuru Udana,RCB,All Rounder,Overseas,10,4,15,5,136.36,0,1,1
Jagadeesha Suchith,MI,Batsmen,Indian origin,16,8,68,18,141.11,0,6,3
James Pattinson,MI,All Rounder,Overseas,10,2,15,15,115.38,0,2,0
Jason Holder,LSG,All Rounder,Overseas,19,15,173,17.55333333,119.45,0,9,10
Jason Roy,GT,Batsmen,Overseas,13,13,329,29.83333333,133.0366667,2,39,9
Jasprit Bumrah,MI,All Rounder,Indian origin,100,20,56,6,84.43571429,0,4,1
Javon Searles,MI,All Rounder,Overseas,4,2,8,8,133.33,0,0,1
Jayant Yadav,DC,All Rounder,Indian origin,10,5,40,10,95.38,0,2,1
Jaydev Unadkat,LSG,All Rounder,Indian origin,60,19,103,7.291666667,71.58833333,0,9,3
Jhye Richardson,PBKS,All Rounder,Overseas,3,2,15,7.5,62.5,0,2,0
Jimmy Neesham,MI,All Rounder,Overseas,8,5,19,4.75,52.775,0,0,1
Joe Denly,LSG,All Rounder,Overseas,1,1,0,0,0,0,0,0
Jofra Archer,RR,All Rounder,Overseas,35,23,195,18.44333333,139.4266667,0,11,14
Jonny Bairstow,PBKS,Batsmen/WK,Overseas,28,28,1038,42.77,141.9266667,7,99,46
Jos Buttler,RR,Batsmen/WK,Overseas,65,64,1968,35.52166667,149.4483333,11,194,90
Josh Philippe,RCB,Batsmen,Overseas,5,5,78,19.5,101.29,0,9,1
JP Duminy,LSG,All Rounder,Overseas,6,4,36,36,90,0,3,1
K.S Bharat,RCB,Batsmen,Indian origin,8,7,191,38.2,122.43,1,10,8
Kagiso Rabada,PBKS,All Rounder,Overseas,50,18,138,12.4975,127.55,0,11,4
Kamlesh Nagarkoti,LSG,Batsmen,Indian origin,11,7,22,3.665,35.48,0,1,0
Kane Richardson,RCB,All Rounder,Overseas,4,1,1,0,100,0,0,0
Kane Williamson,SRH,All Rounder,Overseas,63,62,1885,36.95857143,125.3271429,17,166,56
Karn Sharma,MI,All Rounder,Indian origin,41,25,274,11.685,115.1725,0,17,11
Kartik Tyagi,LSG,All Rounder,Indian origin,14,5,6,3,58.33,0,0,0
Karun Nair,LSG,Batsmen,Indian origin,48,43,969,16.64833333,108.8883333,6,104,25
Kedar Jadhav,CSK,All Rounder,Indian origin,68,59,913,15.77125,118.69,2,77,31
Khaleel Ahmed,DC,All Rounder,Indian origin,23,3,1,0.3333333333,16.66666667,0,0,0
Kieron Pollard,MI,All Rounder,Overseas,55,47,925,34.5225,157.41,4,55,67
KL Rahul,LSG,Batsmen/WK,Indian origin,94,85,3273,41.3125,130.915,27,282,134
Krishnappa Gowtham,CSK,All Rounder,Indian origin,24,19,186,20.66666667,149.05,0,13,12
Krunal Pandya,LSG,All Rounder,Indian origin,84,72,1143,24.35,138.1366667,1,105,46
Kuldeep Yadav,DC,All Rounder,Indian origin,42,11,57,10.25,88.2,0,5,0
Kyle Abbott,PBKS,All Rounder,Overseas,5,3,13,13,162.5,0,0,1
Kyle Jamieson,RCB,All Rounder,Overseas,9,7,65,16.25,118.18,0,5,3
Liam Livingstone,PBKS,All Rounder,Overseas,9,9,113,16.03,125.17,0,9,6
Lockie Ferguson,GT,All Rounder,Overseas,17,6,62,0,137.3,0,5,2
Mahipal Lomror,RR,All Rounder,Indian origin,11,10,181,19.7475,149.975,0,8,9
Manan Vohra,PBKS,Batsmen,Indian origin,26,24,487,18.1725,122.9075,2,49,18
Mandeep Singh,PBKS,Batsmen,Indian origin,46,43,750,24.382,121.118,2,59,23
Manish Pandey,LSG,Batsmen,Indian origin,122,112,2907,36.86545455,123.7827273,19,247,86
Manoj Tiwary,KKR,Batsmen,Indian origin,28,25,523,26.15333333,124.3,3,49,16
Marco Jansen,SRH,All Rounder,Overseas,2,2,0,0,0,0,0,0
Marcus Stoinis,LSG,All Rounder,Overseas,56,49,914,27.84166667,123.9416667,4,76,35
Marlon Samuels,PBKS,All Rounder,Overseas,5,4,29,7.25,93.54,0,1,2
Martin Guptill,LSG,All Rounder,Overseas,13,13,270,22.66666667,135.4866667,1,24,15
Mayank Agarwal,PBKS,Batsmen,Indian origin,84,83,1906,20.539,124.297,10,184,70
Mayank Markande,DC,All Rounder,Indian origin,17,8,27,8.25,103.75,0,3,0
Mitchell Santner,CSK,All Rounder,Overseas,4,2,32,32,139.13,0,0,3
Mitchell Starc,RCB,All Rounder,Overseas,27,12,96,12.58,89.88,0,10,0
Moeen Ali,CSK,All Rounder,Overseas,34,32,666,19.0625,136.275,4,52,42
Mohammad Nabi,SRH,All Rounder,Overseas,17,14,180,8.298,135.094,0,16,9
Mohammad Shami,GT,All Rounder,Indian origin,62,18,61,5.333333333,84.965,0,5,2
Mohammed Siraj,RCB,All Rounder,Indian origin,44,15,66,13.375,85.135,0,5,2
Mohit Sharma,PBKS,All Rounder,Indian origin,70,25,122,5.971666667,81.81166667,0,8,4
Moises Henriques,SRH,All Rounder,Overseas,43,39,777,29.455,121.1275,5,62,24
MS Dhoni,CSK,Batsmen/WK,Indian origin,174,152,3769,45.39,134.9827273,18,251,193
Mujeeb Ur Rahman,GT,All Rounder,Overseas,19,7,12,2.75,69.045,0,2,0
Murali Vijay,CSK,Batsmen,Indian origin,17,17,359,19.3675,102.35,0,37,10
Murugan Ashwin,CSK,All Rounder,Indian origin,34,8,23,3.1,54.5,0,1,0
Mustafizur Rahman,DC,All Rounder,Overseas,21,7,9,0.5,45.235,0,0,1
Narayan Jagadeesan,CSK,Batsmen,Indian origin,5,2,33,16.5,113.79,0,4,0
