Player,Team,Role,Nationality,Mat,Inns,Runs,Avg,SR,50,4s,6s,Role_Encoded,Nationality_Encoded,Predicted_Avg,Predicted_SR,Combined_Score
Virat Kohli,RCB,Batsmen,Indian origin,159,158,5366,40.42545455,128.4945455,38,465,181,0,1,54.648869794951686,129.42995443460953,77.08319518684903
Rohit Sharma,MI,Batsmen,Indian origin,164,160,4412,31.93727273,131.8354545,33,394,177,0,1,50.84057894789535,130.90263392240203,74.85919544024736
MS Dhoni,CSK,Batsmen/WK,Indian origin,174,152,3769,45.39,134.9827273,18,251,193,1,1,48.8119195365488,132.50187530718105,73.91890626773846
David Warner,DC,All Rounder,Overseas,124,124,4748,44.35888889,135.68,47,454,168,2,0,46.15063526445229,134.3111037107483,72.5987757983411
Shikhar Dhawan,PBKS,Batsmen,Indian origin,162,162,4984,36.15636364,126.8090909,37,570,103,0,1,43.510647555914275,128.03815383528223,68.86889943972466
Sanju Samson,RR,Batsmen/WK,Indian origin,121,117,3068,29.01222222,133.4333333,15,236,132,1,1,40.29900108473167,131.47254511266908,67.6510642931129
Rishabh Pant,DC,Batsmen/WK,Indian origin,84,84,2498,34.52,145.7666667,15,225,113,1,1,32.784030481618245,141.1918966798493,65.30639034108756
Andre Russell,KKR,All Rounder,Overseas,84,70,1700,24.17666667,147.63,9,119,143,2,0,30.652531180174968,144.33949574917864,64.75862055087606
KL Rahul,LSG,Batsmen/WK,Indian origin,94,85,3273,41.3125,130.915,27,282,134,1,1,35.71030682411204,131.73366222141513,64.51731344330297
Ambati Rayudu,CSK,Batsmen,Indian origin,109,102,2567,30.06125,128.68125,13,203,109,0,1,36.51647180244507,129.10922520489456,64.2942978231799
Glenn Maxwell,RCB,All Rounder,Overseas,97,93,2018,21.64555556,134.38,12,166,112,2,0,33.24239515908424,135.04669087117168,63.78368387271047
Jos Buttler,RR,Batsmen/WK,Overseas,65,64,1968,35.52166667,149.4483333,11,194,90,1,0,28.953377637595025,144.33949574917864,63.56921307107011
Dinesh Karthik,RCB,Batsmen/WK,Indian origin,140,130,2815,27.11222222,131.9055556,15,278,84,1,1,34.730840654048805,128.70812699752142,62.924026557090585
Manish Pandey,LSG,Batsmen,Indian origin,122,112,2907,36.86545455,123.7827273,19,247,86,0,1,36.59068446939986,124.32825885500168,62.911956785080406
Hardik Pandya,GT,All Rounder,Indian origin,92,85,1476,26.73714286,146.2642857,4,97,98,2,1,28.601065973282743,141.1918966798493,62.3783151852527
Steve Smith,RR,Batsmen,Overseas,103,93,2485,35.42111111,128.6,11,225,60,0,0,33.02472253823984,129.55159525297128,61.982784352659266
Shreyas Iyer,KKR,Batsmen,Indian origin,87,87,2375,30.05428571,116.4757143,16,196,88,0,1,33.9877016883125,122.12483323661927,60.42884115280452
Ajinkya Rahane,KKR,Batsmen,Indian origin,115,109,3113,29.40111111,117.8211111,22,319,61,0,1,33.60107477389024,122.11798057704995,60.15614651483815
Quinton de Kock,LSG,Batsmen/WK,Overseas,77,77,2256,28.44875,120.7125,16,230,83,1,0,30.66332192655677,127.0059825127581,59.56612010241716
David Miller,GT,All Rounder,Overseas,75,72,1617,33.64375,128.28125,8,116,69,2,0,28.58544970545263,131.61741548750462,59.495039440068226
Mayank Agarwal,PBKS,Batsmen,Indian origin,84,83,1906,20.539,124.297,10,184,70,0,1,29.571180798286193,127.85654155654079,59.05678902576257
Kieron Pollard,MI,All Rounder,Overseas,55,47,925,34.5225,157.41,4,55,67,2,0,22.970740281300962,142.55553227027752,58.846177877993924
Suryakumar Yadav,MI,Batsmen,Indian origin,114,99,2341,28.195,134.78875,13,261,68,0,1,28.56561661475007,128.35748858652775,58.50317820628337
Chris Lynn,MI,Batsmen,Overseas,39,39,1265,37.408,140.898,10,126,63,0,0,24.827612669895586,136.85055583920106,58.43449562068723
Nitish Rana,KKR,All Rounder,Indian origin,77,71,1820,29.55166667,133.7916667,13,161,89,2,1,26.33359692308221,132.83218495814577,58.28317333360128
Eoin Morgan,KKR,Batsmen,Overseas,65,62,1233,24.16666667,117.9683333,4,93,60,0,0,28.043252977234136,127.09877920878507,57.75991084669941
Nicholas Pooran,PBKS,Batsmen/WK,Overseas,33,31,606,23.67333333,146.1833333,2,36,44,1,0,20.955878562181017,143.02339209761672,57.57613262281173
Kane Williamson,SRH,All Rounder,Overseas,63,62,1885,36.95857143,125.3271429,17,166,56,2,0,26.897706091837982,128.49200743219905,57.375996493946296
Faf du Plessis,RCB,All Rounder,Overseas,41,41,1478,40.67333333,134.1033333,13,138,52,2,0,22.854400581216193,137.04451798841077,57.11143580337457
Dwayne Bravo,CSK,All Rounder,Overseas,96,64,698,18.8625,160.90125,2,61,27,2,0,17.58187262543504,149.1539849065844,57.05350630977985
Wriddhiman Saha,GT,Batsmen/WK,Indian origin,118,98,1970,25.14833333,122.2841667,8,186,61,1,1,27.019850290686975,126.61537981824347,56.89850914895392
Ishan Kishan,MI,Batsmen/WK,Indian origin,61,56,1452,26.65666667,127.83,9,121,74,1,1,24.71985712851677,131.81893937140316,56.84958180138268
Ravindra Jadeja,CSK,All Rounder,Indian origin,159,117,1673,32.499,131.805,2,124,59,2,1,25.3261526805331,128.38833139532548,56.24480629497081
Jonny Bairstow,PBKS,Batsmen/WK,Overseas,28,28,1038,42.77,141.9266667,7,99,46,1,0,21.080981842428294,137.44708886613168,55.99081394953931
Prithvi Shaw,DC,Batsmen,Indian origin,53,53,1305,24.685,145.62,10,155,45,0,1,22.386852676854943,134.35998377951432,55.97879200765276
Rahul Tripathi,SRH,Batsmen,Indian origin,62,60,1385,25.576,133.72,7,136,48,0,1,24.442300534256653,127.85654155654079,55.46657284094189
Moeen Ali,CSK,All Rounder,Overseas,34,32,666,19.0625,136.275,4,52,42,2,0,19.30431526722056,138.48965401451193,55.05991689140797
Dwayne Smith,CSK,All Rounder,Overseas,31,30,720,30.14,153.3333333,6,85,31,2,0,17.501720496662323,142.2465516645758,54.925169847036365
Shimron Hetmyer,DC,All Rounder,Overseas,31,29,517,25.23,146.4433333,2,34,31,2,0,18.234554829883976,139.87409260661963,54.72641616290467
Shubman Gill,GT,Batsmen,Indian origin,58,55,1417,32.165,126.815,10,137,36,0,1,23.494669423930798,126.27630188420885,54.329159162014214
Evin Lewis,LSG,Batsmen,Overseas,21,21,581,25.19333333,131.02,3,54,33,0,0,19.927828302135566,133.60522444220305,54.031047144155814
Krunal Pandya,LSG,All Rounder,Indian origin,84,72,1143,24.35,138.1366667,1,105,46,2,1,21.126138646473557,128.46981641817524,53.32924197798406
Chris Morris,RCB,All Rounder,Overseas,70,44,542,25.14714286,141.7485714,2,38,30,2,0,16.400242419236143,137.66241839094155,52.77889521074776
Parthiv Patel,MI,Batsmen,Indian origin,54,54,1284,23.7725,132.055,7,167,27,0,1,20.784535112300517,126.84202260502738,52.60178136011857
Marcus Stoinis,LSG,All Rounder,Overseas,56,49,914,27.84166667,123.9416667,4,76,35,2,0,20.71976478336652,125.89747419025373,52.273077605432675
Ben Stokes,RR,All Rounder,Overseas,43,42,920,21.828,106.29,2,79,32,2,0,20.465357155878152,125.50467695475068,51.97715309553991
Deepak Hooda,LSG,All Rounder,Indian origin,80,61,785,28.92285714,129.8928571,3,41,38,2,1,19.318554327374677,126.89522202522258,51.59155463672904
Sam Curran,CSK,All Rounder,Overseas,32,23,337,21.88666667,165.91,2,30,18,2,0,14.878014371053705,137.04376197947056,51.52773865357876
Jofra Archer,RR,All Rounder,Overseas,35,23,195,18.44333333,139.4266667,0,11,14,2,0,14.135342666011073,138.4120405827513,51.41835204103314
Axar Patel,GT,All Rounder,Indian origin,109,78,953,16.46375,121.44,0,55,44,2,1,20.137313396689358,123.27566274851705,51.07881820223766
Mandeep Singh,PBKS,Batsmen,Indian origin,46,43,750,24.382,121.118,2,59,23,0,1,20.43118871934297,121.7898528083979,50.83878794605945
Kedar Jadhav,CSK,All Rounder,Indian origin,68,59,913,15.77125,118.69,2,77,31,2,1,19.241248268957854,124.25898877482538,50.746570420718115
Vijay Shankar,SRH,All Rounder,Indian origin,46,39,712,31.936,123.378,3,45,28,2,1,17.391570401201257,128.53451796394094,50.73445467002316
Moises Henriques,SRH,All Rounder,Overseas,43,39,777,29.455,121.1275,5,62,24,2,0,19.30377153024783,124.06943713773224,50.73347121249315
Colin de Grandhomme,LSG,All Rounder,Overseas,25,21,303,19.09333333,128.9233333,0,18,18,2,0,15.658159381059615,132.04755951940754,50.57497942256399
Ruturaj Gaikwad,CSK,Batsmen,Indian origin,22,22,839,48.175,128.485,7,80,29,0,1,18.55842883162746,125.17906028677078,50.54461826817045
Devdutt Padikkal,RCB,Batsmen,Indian origin,29,29,884,31.57,125.05,6,95,22,0,1,18.53423874278391,123.85454398011889,50.1303303139844
Pat Cummins,KKR,All Rounder,Overseas,36,26,316,16.8125,109.855,2,19,20,2,0,15.574514066182585,130.65475136376475,50.09858525545724
Karun Nair,LSG,Batsmen,Indian origin,48,43,969,16.64833333,108.8883333,6,104,25,0,1,19.669926127293927,120.30337028302928,49.85995937401454
Shakib Al Hasan,KKR,All Rounder,Overseas,64,49,764,15.3125,115.3,2,69,21,2,0,18.13067997528907,122.77496606402498,49.523965801909846
