Player,Team,Role,Nationality ,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR
Abdul Samad,SRH,All Rounder,Indian origin,23,4,8,105,2,52.5,11.355,24
Abhishek Nayar,CSK,Bowler,Indian origin,4,1,1,16,0,0,16,0
Abhishek Sharma,SRH,All Rounder,Indian origin,19,14,22,176,7,27.5,8.666666667,19
Adam Milne,CSK,All Rounder,Overseas,9,9,32,308,7,43.77333333,9.89,26.66666667
Adam Zampa,RCB,All Rounder,Overseas,14,14,47.5,370,21,26.28666667,7.776666667,19.5
Adil Rashid,PBKS,All Rounder,Overseas,1,1,3,35,0,0,11.66,0
Aiden Markram,SRH,All Rounder,Overseas,6,2,4,23,0,0,5.75,0
Ajinkya Rahane,KKR,All Rounder,Indian origin,8,1,1,5,1,5,5,6
Ajit Agarkar,KKR,Bowler,Indian origin,4,4,10,92,0,0,9.2,0
Akila Dananjaya,DC,All Rounder,Overseas,1,1,4,47,0,0,11.75,0
Alzarri Joseph,MI,All Rounder,Overseas,3,3,8.4,87,6,14.5,10.03,8.66
Amit Mishra,DC,Bowler,Indian origin,140,140,492.7,3603,153,25.02461538,7.380769231,19.99076923
Andre Russell,KKR,All Rounder,Overseas,80,72,193.3,1740,71,24.2725,9.3175,15.53625
Andrew Tye,LSG,All Rounder,Overseas,27,27,103,872,40,39.5175,9.45,23.125
Anrich Nortje,DC,All Rounder,Overseas,24,24,91.2,699,34,19.425,7.275,15.895
Anukul Roy,KKR,All Rounder,Indian origin,1,1,2,11,1,11,5.5,12
Arshdeep Singh,PBKS,Bowler,Indian origin,23,23,75.7,669,30,26.51666667,9.313333333,16.77333333
Ashish Reddy,SRH,All Rounder,Indian origin,4,2,3.5,39,1,39,10.17,23
Avesh Khan,LSG,Bowler,Indian origin,25,25,91,749,29,18.55,8.87,13.55
Axar Patel,GT,All Rounder,Indian origin,109,108,381.9,2762,95,34.21625,7.34375,27.63625
Basil Thampi,SRH,Bowler,Indian origin,5,5,14.1,160,6,34.4,11.355,18.1
Ben Cutting,LSG,All Rounder,Overseas,21,17,46.5,429,10,56.2,9.6,35.28
Ben Laughlin,LSG,All Rounder,Overseas,7,7,21,211,9,23.44,10.04,14
Ben Rohrer,PBKS,Bowler,Overseas,8,1,1,12,0,0,12,0
Ben Stokes,RR,All Rounder,Overseas,43,37,113.5,974,28,34.54,9.768,22.316
Bhuvneshwar Kumar,SRH,Bowler,Indian origin,121,121,451.9,3307,134,29.028,7.2,23.908
Billy Stanlake,SRH,All Rounder,Overseas,6,6,24,200,7,30.5,8.435,21.6
Bipul Sharma,CSK,All Rounder,Indian origin,7,7,16.2,129,3,43,7.89,32.66
Brad Hodge,RR,Bowler,Overseas,17,1,1,3,0,0,3,0
Cameron White,RCB,All Rounder,Overseas,13,2,2,16,1,16,8,12
Carlos Brathwaite,LSG,All Rounder,Overseas,16,16,42.2,375,13,28.055,9.51,17.0125
Chetan Sakariya,RR,Bowler,Indian origin,14,14,52,426,14,30.42,8.19,22.28
Chris Green,RCB,All Rounder,Overseas,1,1,2.5,24,0,0,8.47,0
Chris Jordan,RCB,All Rounder,Overseas,23,23,72.3,667,25,22.555,8.965,15.0675
Chris Morris,RCB,All Rounder,Overseas,81,81,286.4,2295,95,26.21,8.18,19.01
Chris Woakes,DC,All Rounder,Overseas,21,21,73.2,658,30,20.95,8.86,14.15666667
Colin de Grandhomme,LSG,All Rounder,Overseas,25,19,36,319,6,32.75,9.343333333,23
Colin Munro,LSG,All Rounder,Overseas,4,2,2,15,0,0,7.5,0
Corey Anderson,MI,All Rounder,Overseas,18,13,30.9,334,7,44.44333333,10.46,26.33
Dan Christian,LSG,All Rounder,Overseas,28,28,73.9,609,19,22.7725,8.61,16.14
Daniel Sams,MI,All Rounder,Overseas,5,5,18,153,1,19.5,8,18
David Hussey,CSK,Bowler,Overseas,12,4,11,91,0,0,8.27,0
David Warner,DC,All Rounder,Overseas,16,1,0.1,2,0,0,12,0
David Wiese,RCB,All Rounder,Overseas,15,14,46.2,402,16,11.03,10.29,7.935
David Willey,RCB,All Rounder,Overseas,3,3,10,95,2,47.5,9.5,30
Deepak Chahar,CSK,Bowler,Indian origin,63,63,220.4,1722,59,31.485,8.246666667,21.93833333
Deepak Hooda,LSG,All Rounder,Indian origin,80,28,54.1,458,9,38.76142857,8.922857143,27
Dhawal Kulkarni,MI,Bowler,Indian origin,67,67,217.4,1843,64,26.837,8.714,18.389
Dwayne Bravo,CSK,All Rounder,Overseas,131,129,429.8,3600,152,25.824,8.29,18.548
Dwayne Smith,CSK,All Rounder,Overseas,40,18,33,318,11,36.70666667,9.46,21.5
