Player,Team,Role_of_player,Nationality,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,Role_Encoded,Nationality_Encoded,Predicted_Econ,Predicted_Wkts,Combined_Score
Dwayne Bravo,CSK,All Rounder,Overseas,131,129,429.8,3600,152,25.824,8.29,18.548,1,0,8.27638763584163,151.98120968636331,51.38783425099813
Amit Mishra,DC,Bowler,Indian origin,140,140,492.7,3603,153,25.02461538,7.380769231,19.99076923,0,1,7.385000166555028,152.9780091244834,51.06290285393354
Ravichandran Ashwin,RR,Bowler,Indian origin,167,164,581.8,4032,145,27.69166667,6.633333333,24.24166667,0,1,6.633295045553045,144.98772897539166,48.139625224504634
Yuzvendra Chahal,RR,Bowler,Indian origin,114,113,407.2,3097,139,20.53444444,7.708888889,16.42444444,0,1,7.71507166942642,138.99316201196274,47.09849877218731
Bhuvneshwar Kumar,SRH,Bowler,Indian origin,121,121,451.9,3307,134,29.028,7.2,23.908,0,1,7.201767695751862,133.9911316311768,45.23857687637934
Jasprit Bumrah,MI,Bowler,Indian origin,106,106,403.0,2995,130,30.19444444,8.08,21.97333333,0,1,8.066601616812775,129.99276960005108,44.64445201178427
Piyush Chawla,CSK,Bowler,Indian origin,139,138,458.5,3657,129,29.79333333,8.188333333,21.84833333,0,1,8.188859559339107,128.9760870339175,44.42502780171263
Ravindra Jadeja,CSK,All Rounder,Indian origin,200,171,500.3,3816,127,30.98923077,7.773076923,23.94538462,1,1,7.7682113937777615,126.99325445036465,43.53572431075383
Sunil Narine,KKR,All Rounder,Overseas,119,118,460.7,3184,119,31.40666667,7.004444444,26.29222222,1,0,7.014452549769743,118.99567006457568,40.60881780421152
Sandeep Sharma,PBKS,Bowler,Indian origin,99,99,365.8,2849,112,28.96777778,7.831111111,22.0,0,1,7.838185871708192,111.99668146095998,39.08573454848373
Umesh Yadav,DC,Bowler,Indian origin,97,96,334.4,2942,94,33.62111111,9.151111111,22.49444444,0,1,9.15548477074793,93.9919939186249,34.60643751511102
Chris Morris,RCB,All Rounder,Overseas,81,81,286.4,2295,95,26.21,8.18,19.01,1,0,8.182329711273292,94.99376381053902,34.225759941053006
Mohit Sharma,PBKS,Bowler,Indian origin,86,86,291.0,2470,92,31.39125,8.96375,20.56625,0,1,8.963161996603807,91.99626733920769,33.87309359938497
Axar Patel,GT,All Rounder,Indian origin,109,108,381.9,2762,95,34.21625,7.34375,27.63625,1,1,7.338796353413041,94.99533057568603,33.63575662009494
Rashid Khan,GT,All Rounder,Overseas,76,76,302.0,1912,93,20.61,6.338,19.5,1,0,6.335338010295345,92.99840639943424,32.334258527037015
Mohammad Shami,GT,Bowler,Indian origin,77,77,277.4,2402,79,43.07125,8.9025,28.81875,0,1,8.887389970093322,78.99167084748086,29.918674233309584
Jaydev Unadkat,LSG,Bowler,Indian origin,76,76,267.0,2353,75,25.485,9.807,17.218,0,1,9.816063556305286,75.00754079303148,29.373506727323146
Trent Boult,MI,All Rounder,Overseas,62,62,235.3,1983,76,30.91571429,8.644285714,21.29428571,1,0,8.64619263985799,76.00496842190759,28.85382537447287
Kagiso Rabada,PBKS,All Rounder,Overseas,50,50,189.6,1560,76,23.6775,8.2775,17.035,1,0,8.26760742695216,75.99283952038483,28.585177054981962
Andre Russell,KKR,All Rounder,Overseas,80,72,193.3,1740,71,24.2725,9.3175,15.53625,1,0,9.315108805054015,70.99968129375632,27.82048055166471
Mitchell McClenaghan,MI,All Rounder,Overseas,56,56,212.2,1803,71,28.96,8.388,20.934,1,0,8.387668755882387,71.00692752820565,27.173446387579364
Shardul Thakur,CSK,Bowler,Indian origin,61,60,209.2,1867,67,30.21166667,9.466666667,19.21666667,0,1,9.4545224061712,67.01074438656117,26.72138900028819
Harshal Patel,RCB,All Rounder,Indian origin,48,47,158.0,1355,65,43.13857143,9.28,26.71857143,1,1,9.282841307749823,65.03077329816938,26.00722090487569
Dhawal Kulkarni,MI,Bowler,Indian origin,67,67,217.4,1843,64,26.837,8.714,18.389,0,1,8.721154379143528,63.98247785846677,25.2995514229405
Siddarth Kaul,PBKS,Bowler,Indian origin,54,54,196.9,1696,58,36.84285714,9.621428571,24.09714286,0,1,9.625348092872487,57.88630224000206,24.103634337011357
Deepak Chahar,CSK,Bowler,Indian origin,63,63,220.4,1722,59,31.485,8.246666667,21.93833333,0,1,8.248589467911595,59.08967677420147,23.500915659798558
Ishant Sharma,DC,Bowler,Indian origin,66,66,236.4,1974,51,47.27555556,8.872222222,30.72333333,0,1,8.867284818777012,51.00675967382716,21.509127275292055
Mohammed Siraj,RCB,Bowler,Indian origin,50,50,171.2,1437,50,29.304,8.634,20.694,0,1,8.640169982416406,50.11341048668437,21.082142133696795
Shakib Al Hasan,KKR,All Rounder,Overseas,63,62,216.8,1644,51,31.55375,8.05375,24.41125,1,0,8.044484761705048,50.992035028256616,20.928749841670516
Karn Sharma,MI,Bowler,Indian origin,53,52,162.3,1278,49,21.52428571,8.732857143,15.35142857,0,1,8.737636364993875,48.948359424887066,20.800853282961832
Krunal Pandya,LSG,All Rounder,Indian origin,84,81,240.4,1773,51,39.08833333,7.381666667,31.36666667,1,1,7.378235294854236,51.00202605145771,20.465372521835278
Nathan Coulter-Nile,MI,All Rounder,Overseas,38,37,139.5,1052,48,25.20571429,7.351428571,20.38142857,1,0,7.35815858287466,47.931990632996545,19.530308197911225
Hardik Pandya,GT,All Rounder,Indian origin,66,60,144.1,1313,42,62.302,9.162,38.752,1,1,9.156593026370846,42.03038853919,19.018731680216593
Jofra Archer,RR,All Rounder,Overseas,35,35,136.9,981,46,22.12,7.223333333,18.56,1,0,7.220142228413975,45.9939463124308,18.852283453619023
Shreyas Gopal,RR,Bowler,Indian origin,44,43,141.1,1135,42,17.41666667,8.663333333,12.38333333,0,1,8.662805962599561,42.00666523953517,18.66596374568024
Andrew Tye,LSG,All Rounder,Overseas,27,27,103.0,872,40,39.5175,9.45,23.125,1,0,9.442507461939906,39.99056399160285,18.606924420838787
Rahul Chahar,MI,Bowler,Indian origin,42,41,150.0,1117,43,26.5025,7.595,20.9325,0,1,7.590168476279491,42.99018124179229,18.21017230593333
Kuldeep Yadav,DC,All Rounder,Indian origin,45,43,149.2,1236,40,46.614,8.216,34.422,1,1,8.21372207821442,39.96008819834872,17.73763191425471
Pat Cummins,KKR,All Rounder,Overseas,37,37,138.6,1145,38,42.254,8.342,29.268,1,0,8.353650518442285,38.00033352436188,17.247655420218162
Varun Chakaravarthy,KKR,Bowler,Indian origin,31,31,123.0,839,36,26.94,8.36,19.67,0,1,8.36389226563904,36.090360027773244,16.6818325942793
Jason Holder,LSG,All Rounder,Overseas,26,26,95.5,786,35,40.514,8.81,28.186,1,0,8.829966782640852,34.88539816774533,16.646596198172197
Shahbaz Nadeem,SRH,Bowler,Indian origin,55,53,171.5,1324,36,35.69222222,8.127777778,25.34,0,1,8.134745100379341,36.058928458798135,16.512000107904978
Khaleel Ahmed,DC,Bowler,Indian origin,24,24,89.9,786,32,22.2875,9.605,15.6625,0,1,9.601623731964832,31.989343974553925,16.31793980474156
Sam Curran,CSK,All Rounder,Overseas,32,31,108.0,995,32,31.73333333,9.3,20.39333333,1,0,9.303780431107905,31.998674353642883,16.112248607868395
Marcus Stoinis,LSG,All Rounder,Overseas,56,45,101.2,969,30,45.335,9.75,27.99,1,0,9.747681337264567,30.002700258968446,15.82418701377573
Varun Aaron,RCB,Bowler,Indian origin,30,29,93.6,849,30,25.992,9.584,16.71,0,1,9.58363432064436,29.99591091721118,15.707317299614406
Arshdeep Singh,PBKS,Bowler,Indian origin,23,23,75.7,669,30,26.51666667,9.313333333,16.77333333,0,1,9.312187428091347,29.998669494603977,15.518132048045135
Prasidh Krishna,KKR,Bowler,Indian origin,34,34,123.8,1152,30,47.625,9.275,30.7,0,1,9.283693027975565,29.997555102562774,15.497851650351727
Anrich Nortje,DC,All Rounder,Overseas,24,24,91.2,699,34,19.425,7.275,15.895,1,0,7.272290190139396,34.00345979873638,15.291641072718491
Ben Stokes,RR,All Rounder,Overseas,43,37,113.5,974,28,34.54,9.768,22.316,1,0,9.754366663512824,27.953512018568787,15.214110270029613
Chris Woakes,DC,All Rounder,Overseas,21,21,73.2,658,30,20.95,8.86,14.15666667,1,0,8.860613313689466,30.00239363421651,15.203147409847578
Mitchell Starc,RCB,All Rounder,Overseas,27,26,96.4,693,34,21.63,7.125,17.95,1,0,7.124644537928807,33.986416757548156,15.183176203814611
Moises Henriques,SRH,All Rounder,Overseas,47,47,121.0,962,32,66.438,7.746,42.726,1,0,7.752594931503222,31.988009385949958,15.023219267837243
Avesh Khan,LSG,Bowler,Indian origin,25,25,91.0,749,29,18.55,8.87,13.55,0,1,8.871454298509223,29.04167470440781,14.922520420278797
Rahul Tewatia,GT,All Rounder,Indian origin,48,45,132.2,1020,32,28.82285714,7.581428571,22.76428571,1,1,7.581313777764613,31.97581779312926,14.899664982374007
